Run,File_name,AGE,Assay.Type,Genotype,chip_antibody,tissue_type,genome_build,bam_url,bai_url,bw_url
SRR4252660,ChIP_BRD4_A_11_1,A_11_1,ChIP,WT,BRD4,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/BRD4/ChIP_BRD4_A_11_1.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/BRD4/ChIP_BRD4_A_11_1.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_BRD4_A_11_1.bw
SRR4252687,ChIP_CTCF_A_11_2,A_11_2,ChIP,WT,CTCF,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_A_11_2.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_A_11_2.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_CTCF_A_11_2.bw
SRR4252688,ChIP_CTCF_A_11_3,A_11_3,ChIP,WT,CTCF,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_A_11_3.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_A_11_3.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_CTCF_A_11_3.bw
SRR4252716,ChIP_H3K27Ac_A_11_4,A_11_4,ChIP,WT,H3K27Ac,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_A_11_4.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_A_11_4.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27Ac_A_11_4.bw
SRR4252717,ChIP_H3K27Ac_A_11_5,A_11_5,ChIP,WT,H3K27Ac,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_A_11_5.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_A_11_5.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27Ac_A_11_5.bw
SRR4252742,ChIP_H3K27me3_A_11_6,A_11_6,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_6.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_6.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_A_11_6.bw
SRR4252743,ChIP_H3K27me3_A_11_7,A_11_7,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_7.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_7.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_A_11_7.bw
SRR4252746,ChIP_H3K27me3_A_11_8,A_11_8,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_8.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_8.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_A_11_8.bw
SRR4252747,ChIP_H3K27me3_A_11_9,A_11_9,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_9.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_A_11_9.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_A_11_9.bw
SRR4252774,ChIP_H3K36me3_A_11_10,A_11_10,ChIP,WT,H3K36me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_A_11_10.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_A_11_10.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K36me3_A_11_10.bw
SRR4252775,ChIP_H3K36me3_A_11_11,A_11_11,ChIP,WT,H3K36me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_A_11_11.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_A_11_11.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K36me3_A_11_11.bw
SRR4252802,ChIP_H3K4me1_A_11_12,A_11_12,ChIP,WT,H3K4me1,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me1/ChIP_H3K4me1_A_11_12.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me1/ChIP_H3K4me1_A_11_12.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K4me1_A_11_12.bw
SRR4252803,ChIP_H3K4me1_A_11_13,A_11_13,ChIP,WT,H3K4me1,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me1/ChIP_H3K4me1_A_11_13.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me1/ChIP_H3K4me1_A_11_13.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K4me1_A_11_13.bw
SRR4252830,ChIP_H3K4me2_A_11_14,A_11_14,ChIP,WT,H3K4me2,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me2/ChIP_H3K4me2_A_11_14.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me2/ChIP_H3K4me2_A_11_14.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K4me2_A_11_14.bw
SRR4252831,ChIP_H3K4me2_A_11_15,A_11_15,ChIP,WT,H3K4me2,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me2/ChIP_H3K4me2_A_11_15.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K4me2/ChIP_H3K4me2_A_11_15.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K4me2_A_11_15.bw
